32560
2720
Layer: 0
( GRASS 18840 280 400 80 )
( DIRT 18720 440 160 240 )
( GRASS 18920 520 240 80 )
( PERMATION_BLOCK_DIRT 18320 640 1440 160 )
( GRASS 29840 600 320 80 )
( GRASS 25240 680 240 80 )
( GRASS 26840 680 240 80 )
( GRASS 27280 680 160 80 )
( DIRT 29760 760 160 240 )
( PERMATION_BLOCK_DIRT 17680 1080 160 720 )
( GRASS 25640 760 240 80 )
( GRASS 26040 760 240 80 )
( GRASS 4520 840 400 80 )
( GRASS 9840 840 320 80 )
( GRASS 20960 840 160 80 )
( GRASS 26440 840 240 80 )
( GRASS 27560 840 240 80 )
( GRASS 29160 840 1040 80 )
( GRASS 29960 840 240 80 )
( GRASS 3640 920 400 80 )
( DIRT 4520 920 400 80 )
( GRASS 4760 920 80 80 )
( GRASS 5800 920 240 80 )
( DIRT 9920 1000 160 240 )
( GRASS 13360 920 320 80 )
( DIRT 20960 1000 160 240 )
( GRASS 24640 920 640 80 )
( DIRT 27640 960 80 160 )
( DIRT 29360 1000 1440 240 )
( GRASS 3200 1000 160 80 )
( DIRT 3640 1080 400 240 )
( DIRT 4560 1000 480 80 )
( GRASS 4840 1000 80 80 )
( GRASS 12240 1000 480 80 )
( DIRT 13360 1000 320 80 )
( GRASS 13560 1000 80 80 )
( PERMATION_BLOCK_DIRT 18840 1040 400 160 )
( GRASS 19440 1000 800 80 )
( DIRT 24640 1000 640 80 )
( GRASS 25000 1000 80 80 )
( GRASS 27760 1000 160 80 )
( GRASS 1280 1080 160 80 )
( GRASS 2400 1080 160 80 )
( GRASS 3080 1080 80 80 )
( DIRT 3200 1160 160 240 )
( DIRT 4600 1080 560 80 )
( GRASS 4920 1080 80 80 )
( GRASS 9760 1080 160 80 )
( GRASS 11960 1080 80 80 )
( DIRT 12240 1080 480 80 )
( GRASS 12520 1080 80 80 )
( DIRT 13400 1080 400 80 )
( GRASS 13640 1080 80 80 )
( PERMATION_BLOCK_DIRT 18320 1080 160 80 )
( DIRT 19440 1080 800 80 )
( GRASS 19880 1080 80 80 )
( GRASS 23800 1080 240 80 )
( DIRT 24680 1080 720 80 )
( GRASS 25080 1080 80 80 )
( GRASS 27520 1080 160 80 )
( DIRT 27720 1120 240 160 )
( GRASS 1160 1160 80 80 )
( DIRT 1280 1160 160 80 )
( GRASS 1400 1160 80 80 )
( DIRT 2400 1240 160 240 )
( GRASS 3000 1160 80 80 )
( DIRT 3080 1200 80 160 )
( GRASS 4080 1160 480 80 )
( DIRT 4640 1160 640 80 )
( GRASS 5000 1160 80 80 )
( GRASS 7520 1160 480 80 )
( GRASS 10680 1160 400 80 )
( GRASS 11880 1160 80 80 )
( DIRT 12240 1160 640 80 )
